iter	Passed	Remaining
0	19	19458
1	36	18253
2	55	18370
3	72	18026
4	91	18202
5	108	17906
6	125	17746
7	141	17549
8	166	18282
9	184	18303
10	201	18118
11	219	18107
12	237	18056
13	256	18064
14	273	17970
15	293	18024
16	313	18131
17	331	18096
18	349	18062
19	367	17992
20	386	17999
21	401	17867
22	419	17839
23	434	17663
24	455	17778
25	472	17689
26	492	17730
27	509	17689
28	526	17640
29	547	17715
30	565	17665
31	584	17674
32	604	17709
33	621	17655
34	636	17557
35	656	17579
36	675	17579
37	692	17527
38	710	17515
39	727	17457
40	749	17527
41	765	17461
42	783	17439
43	800	17397
44	817	17349
45	835	17326
46	852	17292
47	873	17329
48	897	17427
49	920	17482
50	940	17505
51	960	17518
52	983	17572
53	1006	17624
54	1025	17624
55	1054	17782
56	1077	17825
57	1100	17866
58	1120	17874
59	1139	17859
60	1156	17804
61	1175	17781
62	1195	17773
63	1212	17736
64	1230	17703
65	1249	17677
66	1268	17666
67	1286	17626
68	1305	17615
69	1322	17567
70	1347	17631
71	1368	17638
72	1385	17589
73	1403	17564
74	1419	17512
75	1439	17500
76	1455	17449
77	1473	17414
78	1494	17422
79	1512	17393
80	1532	17388
81	1549	17344
82	1567	17314
83	1584	17273
84	1601	17244
85	1617	17189
86	1638	17199
87	1655	17155
88	1674	17137
89	1690	17093
90	1706	17048
91	1722	17000
92	1739	16967
93	1757	16939
94	1774	16907
95	1792	16880
96	1809	16840
97	1832	16866
98	1848	16826
99	1866	16800
100	1883	16764
101	1901	16737
102	1916	16692
103	1935	16673
104	1951	16631
105	1970	16618
106	1991	16620
107	2007	16582
108	2026	16566
109	2043	16534
110	2062	16515
111	2078	16477
112	2095	16451
113	2111	16413
114	2136	16441
115	2155	16425
116	2171	16391
117	2190	16370
118	2207	16342
119	2227	16337
120	2247	16327
121	2269	16329
122	2289	16327
123	2310	16321
124	2335	16347
125	2357	16349
126	2375	16328
127	2396	16324
128	2418	16327
129	2437	16312
130	2458	16310
131	2480	16312
132	2500	16301
133	2520	16290
134	2537	16259
135	2556	16240
136	2572	16204
137	2591	16188
138	2608	16157
139	2633	16177
140	2650	16150
141	2664	16101
142	2682	16076
143	2699	16044
144	2718	16029
145	2736	16003
146	2754	15981
147	2770	15946
148	2787	15923
149	2804	15890
150	2828	15905
151	2847	15888
152	2863	15854
153	2883	15837
154	2899	15807
155	2918	15790
156	2935	15759
157	2953	15737
158	2972	15721
159	2990	15698
160	3008	15675
161	3024	15644
162	3043	15627
163	3059	15597
164	3078	15578
165	3095	15552
166	3118	15553
167	3136	15530
168	3153	15505
169	3166	15460
170	3184	15440
171	3206	15435
172	3223	15409
173	3243	15395
174	3262	15379
175	3283	15373
176	3301	15350
177	3319	15329
178	3339	15315
179	3354	15280
180	3372	15259
181	3390	15236
182	3416	15251
183	3437	15246
184	3454	15216
185	3473	15199
186	3489	15172
187	3507	15149
188	3524	15121
189	3542	15101
190	3563	15092
191	3583	15082
192	3603	15066
193	3620	15040
194	3639	15022
195	3654	14992
196	3673	14971
197	3689	14945
198	3713	14946
199	3732	14928
200	3745	14889
201	3756	14839
202	3773	14815
203	3790	14789
204	3811	14782
205	3831	14766
206	3846	14737
207	3865	14716
208	3881	14691
209	3904	14687
210	3920	14659
211	3938	14637
212	3953	14607
213	3971	14585
214	3987	14559
215	4005	14539
216	4022	14513
217	4040	14495
218	4057	14469
219	4074	14446
220	4096	14441
221	4114	14419
222	4133	14401
223	4149	14375
224	4167	14355
225	4185	14334
226	4203	14313
227	4220	14292
228	4238	14268
229	4256	14251
230	4274	14229
231	4297	14227
232	4314	14202
233	4333	14184
234	4349	14157
235	4366	14136
236	4383	14113
237	4402	14094
238	4421	14077
239	4441	14063
240	4458	14042
241	4475	14017
242	4494	14002
243	4511	13979
244	4530	13960
245	4546	13935
246	4565	13918
247	4588	13913
248	4605	13890
249	4623	13871
250	4640	13846
251	4658	13826
252	4675	13803
253	4695	13790
254	4713	13770
255	4729	13746
256	4748	13729
257	4765	13706
258	4789	13702
259	4806	13678
260	4824	13661
261	4839	13632
262	4858	13615
263	4877	13597
264	4894	13575
265	4913	13559
266	4929	13534
267	4948	13516
268	4961	13482
269	4983	13473
270	5000	13450
271	5018	13430
272	5033	13404
273	5052	13386
274	5069	13365
275	5088	13348
276	5107	13329
277	5124	13307
278	5145	13296
279	5162	13276
280	5182	13259
281	5199	13238
282	5218	13221
283	5234	13196
284	5252	13177
285	5272	13163
286	5308	13187
287	5324	13162
288	5341	13142
289	5358	13118
290	5376	13100
291	5393	13076
292	5411	13056
293	5425	13029
294	5447	13019
295	5463	12993
296	5480	12972
297	5499	12955
298	5515	12931
299	5533	12912
300	5551	12891
301	5571	12876
302	5590	12860
303	5608	12841
304	5624	12817
305	5642	12795
306	5659	12775
307	5676	12754
308	5696	12737
309	5712	12714
310	5731	12697
311	5748	12675
312	5767	12659
313	5783	12636
314	5802	12617
315	5817	12593
316	5835	12573
317	5855	12558
318	5874	12541
319	5894	12526
320	5911	12503
321	5930	12486
322	5946	12464
323	5965	12445
324	5980	12422
325	5999	12403
326	6015	12380
327	6038	12372
328	6058	12357
329	6075	12335
330	6095	12319
331	6110	12295
332	6128	12276
333	6147	12257
334	6165	12238
335	6189	12231
336	6205	12209
337	6226	12194
338	6244	12175
339	6262	12156
340	6279	12134
341	6300	12121
342	6321	12109
343	6339	12089
344	6358	12071
345	6373	12047
346	6392	12029
347	6408	12006
348	6425	11986
349	6442	11964
350	6463	11951
351	6485	11938
352	6501	11916
353	6520	11898
354	6537	11877
355	6556	11860
356	6575	11843
357	6594	11825
358	6608	11800
359	6631	11789
360	6650	11772
361	6667	11750
362	6686	11734
363	6703	11712
364	6721	11693
365	6737	11671
366	6757	11655
367	6779	11643
368	6795	11620
369	6814	11602
370	6831	11581
371	6849	11563
372	6866	11542
373	6884	11523
374	6900	11501
375	6922	11489
376	6937	11464
377	6955	11445
378	6974	11428
379	6990	11405
380	7008	11387
381	7026	11366
382	7044	11348
383	7064	11333
384	7084	11316
385	7099	11292
386	7116	11272
387	7136	11256
388	7153	11235
389	7172	11218
390	7188	11196
391	7210	11183
392	7226	11161
393	7244	11142
394	7260	11120
395	7279	11102
396	7295	11081
397	7313	11062
398	7329	11039
399	7347	11021
400	7368	11007
401	7384	10985
402	7402	10966
403	7419	10945
404	7439	10928
405	7455	10908
406	7476	10892
407	7495	10875
408	7515	10859
409	7534	10842
410	7551	10822
411	7570	10804
412	7587	10784
413	7604	10764
414	7621	10743
415	7639	10725
416	7662	10712
417	7678	10691
418	7697	10673
419	7714	10653
420	7740	10644
421	7756	10623
422	7774	10605
423	7791	10584
424	7891	10676
425	7937	10694
426	7977	10705
427	8014	10710
428	8065	10734
429	8084	10716
430	8101	10695
431	8120	10677
432	8139	10658
433	8159	10640
434	8175	10619
435	8197	10603
436	8213	10581
437	8231	10561
438	8247	10539
439	8265	10519
440	8283	10500
441	8301	10480
442	8319	10460
443	8341	10445
444	8360	10426
445	8376	10404
446	8394	10385
447	8411	10364
448	8432	10347
449	8448	10326
450	8465	10304
451	8485	10287
452	8503	10267
453	8522	10249
454	8539	10228
455	8558	10209
456	8573	10187
457	8591	10167
458	8608	10146
459	8626	10126
460	8642	10104
461	8661	10086
462	8676	10063
463	8697	10047
464	8717	10030
465	8734	10008
466	8753	9990
467	8769	9968
468	8787	9949
469	8804	9928
470	8822	9909
471	8844	9894
472	8861	9873
473	8880	9854
474	8897	9833
475	8916	9815
476	8932	9794
477	8951	9775
478	8967	9753
479	8989	9738
480	9008	9719
481	9026	9700
482	9045	9681
483	9061	9660
484	9080	9641
485	9097	9622
486	9116	9603
487	9137	9586
488	9155	9567
489	9174	9548
490	9193	9530
491	9212	9511
492	9228	9490
493	9247	9472
494	9263	9450
495	9288	9438
496	9307	9420
497	9324	9399
498	9345	9382
499	9368	9368
500	9393	9355
501	9414	9339
502	9431	9318
503	9449	9299
504	9468	9280
505	9486	9261
506	9505	9243
507	9522	9222
508	9541	9203
509	9557	9182
510	9575	9163
511	9592	9142
512	9610	9123
513	9630	9105
514	9647	9085
515	9663	9063
516	9680	9043
517	9698	9024
518	9717	9005
519	9736	8987
520	9755	8969
521	9778	8954
522	9796	8934
523	9813	8914
524	9832	8895
525	9847	8873
526	9865	8854
527	9882	8834
528	9901	8815
529	9920	8797
530	9938	8778
531	9953	8756
532	9970	8736
533	9987	8715
534	10004	8695
535	10021	8675
536	10040	8656
537	10054	8634
538	10080	8621
539	10111	8613
540	10133	8597
541	10152	8578
542	10174	8562
543	10196	8546
544	10219	8532
545	10238	8513
546	10255	8493
547	10274	8474
548	10293	8456
549	10310	8435
550	10329	8417
551	10345	8396
552	10366	8379
553	10384	8359
554	10402	8340
555	10420	8321
556	10436	8300
557	10453	8280
558	10471	8260
559	10490	8242
560	10509	8224
561	10528	8205
